name,roc_auc,ef0_5,ef1,ef2,ef5,roc_auc_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,roc_auc_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,0.782048065069067,12.785654163710937,10.179553609464099,7.724446121532211,5.7157209234626825,"(0.7817753942820661, 0.7823207358560639)","(12.73807319944932, 12.833235127973088)","(10.147814893046887, 10.211292325881418)","(7.705143966803812, 7.743748276260375)","(5.706155842137134, 5.725286004788133)",0.00027267078699888536,0.04758096426188452,0.03173871641726578,0.01930215472828145,0.009565081325499492
akt1,0.7490227848783714,5.139905359341919,4.714820216018016,5.930754038528689,5.6571636536891345,"(0.7487659613558884, 0.7492796084008593)","(5.11243323620979, 5.167377482474104)","(4.69467166392141, 4.734968768114651)","(5.916407324088717, 5.945100752968515)","(5.649302452484276, 5.665024854894005)",0.0002568235224854609,0.0274721231321573,0.020148552096620698,0.014346714439898989,0.007861201204864443
akt2,0.7893884078299619,18.645884984972035,13.48578530269055,9.197577387041072,6.582000075197673,"(0.7890626783345084, 0.7897141373253959)","(18.580028413900287, 18.711741556043847)","(13.444003614537754, 13.527566990843555)","(9.173171752233408, 9.221983021848757)","(6.569184496950767, 6.594815653444645)",0.0003257294954437384,0.06585657107178022,0.04178168815290029,0.02440563480767466,0.012815578246939019
ampc,0.5045483133227007,0.0,0.0,0.0,0.628418614480977,"(0.5038460058898786, 0.5052506207555538)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.6191733651586393, 0.6376638638033056)",0.0007023074328376122,0,0,0,0.009245249322333171
braf,0.7704997818237116,9.266289785887476,8.69516537776251,7.808825165493096,4.543698813423344,"(0.7702211947957619, 0.7707783688516615)","(9.218243710427304, 9.31433586134788)","(8.66444323618075, 8.725887519344008)","(7.789054053533348, 7.828596277452665)","(4.533760407491459, 4.553637219355276)",0.00027858702794980594,0.04804607546028805,0.030722141581629003,0.01977111195965886,0.009938405931908534
cdk2,0.68146904731018,4.967366050527214,4.907008240933966,4.043884610964661,3.2569491635989305,"(0.6812701772487387, 0.6816679173716534)","(4.947579192332762, 4.98715290872166)","(4.893985722005474, 4.920030759862477)","(4.035581166706654, 4.052188055222842)","(3.2521622578989042, 3.2617360692989292)",0.00019887006145735686,0.019786858194448698,0.01302251892850137,0.00830344425809404,0.0047869057000125
cp3a4,0.5802619090862868,3.4530673098817655,4.636693091554813,3.7602184885502545,2.3766897360449284,"(0.5799616547415527, 0.5805621634310358)","(3.4246395653653874, 3.481495054398157)","(4.6157729360975654, 4.657613247012225)","(3.747363883118255, 3.7730730939824175)","(2.370333687079504, 2.383045785010366)",0.0003002543447415684,0.028427744516384745,0.020920155457329948,0.012854605432081279,0.0063560489654310715
csf1r,0.7091223410846722,11.65795757749159,10.202158208043027,6.697294524862652,3.9206902095464597,"(0.7088436765285463, 0.7094010056408245)","(11.608644232403654, 11.707270922579317)","(10.170101048444232, 10.234215367641566)","(6.678378034953845, 6.716211014771501)","(3.9118250069906195, 3.929555412102373)",0.0002786645561391188,0.049313345087831806,0.03205715959866673,0.018916489908828105,0.008865202555876639
cxcr4,0.6740913193675409,1.5703793432563202,0.8076236622460978,0.8077715733416091,0.8746116174729954,"(0.6737165806546792, 0.67446605808042)","(1.5399816394248507, 1.6007770470877258)","(0.7919905574184947, 0.8232567670736877)","(0.7969707524370767, 0.8185723942461881)","(0.8674299505615476, 0.8817932843844115)",0.00037473871287041494,0.030397703831437584,0.0156331048275965,0.010800820904555697,0.007181666911431961
egfr,0.7087566000916078,29.08275458105011,17.580781105721446,11.23622863452602,5.775186596060113,"(0.7085605708839309, 0.7089526292992927)","(29.043831405412124, 29.121677756688268)","(17.55595662546741, 17.60560558597509)","(11.223090353618842, 11.249366915433415)","(5.768919617130726, 5.781453574989608)",0.00019602920768091447,0.03892317563807168,0.024824480253840875,0.013138280907286415,0.006266978929440725
fak1,0.8427701429961718,32.16302877553166,21.08913478872935,16.776560085583082,9.869334285943632,"(0.8423577711691903, 0.8431825148231127)","(32.04800338188826, 32.27805416917537)","(21.02415024611815, 21.15411933134097)","(16.7386627522748, 16.81445741889138)","(9.85082251118026, 9.887846060706911)",0.0004123718269611887,0.11502539364355613,0.06498454261140907,0.03789733330829037,0.01851177476332566
gcr,0.45725385026836457,5.825785174923618,4.125091963810646,3.448165421399778,2.7358118600382735,"(0.45693057362509903, 0.45757712691162833)","(5.801721178610005, 5.8498491712371985)","(4.110279597692285, 4.139904329928948)","(3.4388235584673432, 3.45750728433219)","(2.7306435524251067, 2.7409801676513363)",0.0003232766432646472,0.024063996313596903,0.014812366118331255,0.00934186293242334,0.00516830761311482
hivpr,0.6231475751347608,6.318387584883731,5.387189309911375,4.957457191960159,3.500923361544036,"(0.6229912540594255, 0.6233038962101091)","(6.302178455085223, 6.3345967146820685)","(5.376805674371682, 5.397572945451068)","(4.950528971366841, 4.964385412553551)","(3.4975389058725206, 3.504307817215567)",0.00015632107534180317,0.016209129798422595,0.010383635539692904,0.006928220593355405,0.0033844556715232343
hivrt,0.5843416103231268,5.351994440904481,5.072726476727883,3.7816333411802354,2.6760877928191813,"(0.5840878799073496, 0.5845953407389052)","(5.328583454642294, 5.375405427166628)","(5.056334267169446, 5.08911868628621)","(3.77062852620416, 3.7926381561562734)","(2.670550009510542, 2.681625576127894)",0.00025373041577780864,0.0234109862621672,0.016392209558381943,0.011004814976056654,0.0055377833086760475
igf1r,0.7847706462341668,33.24730272969636,19.864762088616647,12.186440654542107,6.356638420706102,"(0.7844821803571264, 0.7850591121112237)","(33.180204020608876, 33.31440143878344)","(19.82159424346542, 19.90792993376803)","(12.160287235149617, 12.212594073934781)","(6.345545751702886, 6.367731089709045)",0.00028846587704867144,0.06709870908728277,0.043167845151305784,0.026153419392581867,0.011092669003079259
jak2,0.7620123357052095,24.423601366541952,16.346005089173424,11.496031324828465,7.019086451718585,"(0.7616009620186013, 0.7624237093918158)","(24.346479516421038, 24.500723216663683)","(16.289972090559026, 16.40203808778766)","(11.465972476285543, 11.526090173371859)","(7.004017378405848, 7.034155525031151)",0.0004113736866072637,0.07712185012132267,0.056032998614316654,0.03005884854315788,0.015069073312651504
kif11,0.8179194216317435,19.763264624099552,16.4629594785365,15.236078607135667,10.981058347380946,"(0.8175197675841843, 0.8183190756793144)","(19.703736311186844, 19.822792937012665)","(16.422227786048566, 16.50369117102467)","(15.208946309717323, 15.263210904554192)","(10.967808724264788, 10.994307970497438)",0.00039965404756503453,0.05952831291291005,0.04073169248805186,0.027132297418434703,0.013249623116324827
kit,0.6793107868591154,9.549934966864633,7.8050636979885155,5.339999754247966,3.5338045719706583,"(0.6789887813445454, 0.6796327923737073)","(9.499830220369683, 9.6000397133599)","(7.772771755758809, 7.837355640218405)","(5.321768256302195, 5.358231252193884)","(3.5245577044119023, 3.5430514395294526)",0.0003220055145809475,0.05010474649510854,0.03229194222979803,0.018231497945844666,0.00924686755877513
kpcb,0.7770850490177281,26.410470104238925,17.569948229879984,11.62002904029823,6.821564112961591,"(0.7767204780220649, 0.77744962001339)","(26.349209294937836, 26.471730913539503)","(17.52854437803418, 17.61135208172507)","(11.597359855563054, 11.642698225033323)","(6.81080942404024, 6.832318801882764)",0.0003645709956625609,0.06126080930083333,0.041403851845444706,0.02266918473513435,0.010754688921261746
lck,0.7444329891453382,10.08275406491861,8.064905589426614,6.673336991354955,4.493893439609816,"(0.7442464984165224, 0.7446194798741906)","(10.054682809279921, 10.110825320557517)","(8.04699322687679, 8.082817951976438)","(6.660505625195174, 6.686168357514388)","(4.487641841574114, 4.500145037645743)",0.0001864907288341433,0.028071255638797865,0.017912362549823868,0.012831366159606894,0.006251598035814432
mapk2,0.6586958683442293,2.2683403652184757,3.344909674492259,4.510027159556215,3.388328993768972,"(0.6582580630514132, 0.6591336736370186)","(2.240403540107374, 2.2962771903296493)","(3.321655135572676, 3.3681642134117804)","(4.491575863140904, 4.528478455971335)","(3.378716027519638, 3.397941960018418)",0.0004378052928026843,0.027936825111137598,0.023254538919552203,0.0184512964152157,0.00961296624939001
met,0.8563382235831738,46.669771511543445,42.23996855198871,26.54284434583034,12.334266783308133,"(0.8560464821540983, 0.8566299650122482)","(46.61333258716707, 46.726210435919704)","(42.191794827028566, 42.28814227695023)","(26.51309242112966, 26.57259627052972)","(12.32215002923965, 12.346383537376807)",0.00029174142907495426,0.056438924376315924,0.04817372496083294,0.02975192470002952,0.012116754068578928
mk01,0.7871891644158883,4.701084458292272,4.414821482062859,3.69543655750622,5.015771350556964,"(0.7867280453674262, 0.7876502834643594)","(4.655728940533289, 4.746439976051092)","(4.382784897238234, 4.4468580668874145)","(3.674402708512252, 3.716470406500199)","(5.001937919953359, 5.029604781160541)",0.0004611190484665739,0.04535551775890134,0.032036584824590264,0.021033848993973425,0.01383343060359099
mk10,0.7562057376613106,11.637797329223401,8.24902943187838,5.7527217972792455,3.4398734916387306,"(0.7558850303474447, 0.7565264449751545)","(11.578268854513915, 11.697325803933342)","(8.212261820877588, 8.28579704287968)","(5.731074676439086, 5.7743689181195474)","(3.428737764085935, 3.4510092191916026)",0.0003207073138549177,0.059528474709713564,0.03676761100104642,0.021647120840230905,0.011135727552833874
mk14,0.7027017998924883,11.115864297943757,7.276576607862017,5.517609997400305,3.6394964304379296,"(0.7025422731990002, 0.7028613265859806)","(11.088864528316938, 11.142864067570978)","(7.26055240144025, 7.292600814283747)","(5.508081772200368, 5.527138222600179)","(3.6346632376721093, 3.644329623203772)",0.00015952669349017512,0.026999769627019887,0.016024206421748843,0.009528225199905371,0.0048331927658313845
mp2k1,0.669355498930578,0.0,0.0,0.41131078067417665,1.5176681183644543,"(0.6690085360304929, 0.6697024618306961)","(0.0, 0.0)","(0.0, 0.0)","(0.4038495905479405, 0.41877197080041356)","(1.5107268601193684, 1.5246093766095787)",0.00034696290010161057,0,0,0.007461190126236528,0.006941258245105164
plk1,0.7960332856882958,23.72220955089101,16.77928963286262,10.466897808712346,6.037216467758714,"(0.7956669496099182, 0.7963996217666462)","(23.64658378789162, 23.79783531388917)","(16.7239376881428, 16.834641577582634)","(10.436536904567149, 10.497258712857501)","(6.023693720032675, 6.050739215484894)",0.0003663360783640046,0.07562576299877577,0.055351944719916446,0.03036090414517645,0.013522747726109507
rock1,0.706670350558172,0.0,0.0,0.21409018848666084,0.5623763089713077,"(0.7064039145941563, 0.7069367865221701)","(0.0, 0.0)","(0.0, 0.0)","(0.20943916080390484, 0.21874121616941372)","(0.557747819434611, 0.5670047985080002)",0.00026643596400688363,0,0,0.004651027682754438,0.004628489536694591
src,0.6820115896682146,4.839367403153664,5.391280942119818,4.520478189293876,3.6371323137963065,"(0.6818297541531789, 0.6821934251832592)","(4.819818808929183, 4.858915997378078)","(5.376641430215579, 5.405920454023863)","(4.510986931390829, 4.529969447197023)","(3.6319497965912944, 3.642314831001357)",0.00018183551504014073,0.01954859422444777,0.014639511904142033,0.009491257903096795,0.005182517205031267
tgfr1,0.8507113996205026,13.48499878746263,12.542008114682861,10.013555561965516,7.8652203408337416,"(0.8504983873697333, 0.8509244118712999)","(13.43589269982614, 13.534104875099283)","(12.509615968976016, 12.57440026038996)","(9.992829209614072, 10.034281914316463)","(7.855179437785276, 7.875261243882253)",0.00021301225078329544,0.04910608763657187,0.032392145706971576,0.020726352351195132,0.010040903048488481
vgfr2,0.7301823346439303,13.682996455695172,10.312924687412123,7.824429718227013,5.266808761560154,"(0.7299661624741605, 0.7303985068137047)","(13.648648077423845, 13.717344833966605)","(10.291988856437635, 10.333860518386556)","(7.8117169151736, 7.837142521280754)","(5.260320812931711, 5.273296710188591)",0.00021617216977209974,0.03434837827138004,0.0209358309744605,0.012712803053577026,0.00648794862843971
wee1,0.9857135257753896,46.95761675519762,46.95761675519762,39.97382604486323,18.36733716787601,"(0.9856132308788443, 0.9858138206719382)","(46.88100949789055, 47.034224012504616)","(46.88100949789055, 47.034224012504616)","(39.94092175114541, 40.006730338581974)","(18.357734114343927, 18.376940221407956)",0.00010029489654694856,0.07660725730703177,0.07660725730703177,0.03290429371828196,0.009603053532014627
