name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,773.0207,1.0223,2.0165,3.9405,0.9961041025641529,0.8585485933292392,0.6978549768579714,0.708937408988365,0.6959916900481197,134.31816601731498,84.70064288419832,42.84555512716408,17.57766364191356,"(772.9701985223551, 773.071201477645)","(1.0029992362248386, 1.0416007637751614)","(1.9893059941896878, 2.0436940058103126)","(3.9029964480939054, 3.978003551906095)","(0.9960618680604094, 0.9961463370677957)","(0.8567646258275172, 0.8603325608309615)","(0.6943281105458212, 0.7013818431700907)","(0.7054701474541191, 0.7124046705225952)","(0.6924546552800407, 0.6995287248162435)","(133.00210645882092, 135.63422557581114)","(84.00422565793482, 85.39706011046346)","(42.49327255198821, 43.197837702340806)","(17.43313745722593, 17.722189826601355)",0.05050147764495705,0.019300763775161434,0.027194005810312394,0.03750355190609467,4.22345036931171e-05,0.0017839675017221612,0.0035268663121347243,0.003467261534238042,0.0035370347681014103,1.3160595584951125,0.696417226264316,0.3522825751762966,0.14452618468771306
akt1,902.1402,0.0,0.9983,4.8615,0.9989005506607371,1.0,0.9002063905809681,0.9075431364576023,0.8996795276404485,134.35035159019455,83.89305130991954,42.09703353374772,16.838813413499143,"(902.0935418133795, 902.1868581866206)","(0.0, 0.0)","(0.9788970263407663, 1.0177029736592336)","(4.819384495969725, 4.903615504030276)","(0.9988791817470714, 0.9989219195745146)","(1.0, 1.0)","(0.8980420821639493, 0.9023706989979948)","(0.905571444628177, 0.9095148282870694)","(0.897507822157891, 0.9018512331230107)","(133.70640379644922, 134.99429938392595)","(83.57363133420412, 84.21247128564517)","(41.936695739475766, 42.25737132802465)","(16.774678295790306, 16.902948531209855)",0.04665818662056154,0,0.019402973659233658,0.0421155040302752,2.1368913721619975e-05,0,0.0021643084170227533,0.0019716918294462316,0.002171705482559849,0.6439477937383629,0.31941997572052117,0.16033779427444017,0.06413511770977465
akt2,1734.4436,1.8926,2.0115,45.6523,0.9978116031389498,0.9998561057376731,0.9588702681856408,0.9579877023388884,0.9577463101415058,38.23176786985849,38.23176786985849,38.08164533639692,20.012221887548694,"(1734.3067733302266, 1734.5804266697735)","(1.8649072409417289, 1.9202927590582712)","(1.9818653073162031, 2.0411346926837965)","(45.52437157675901, 45.780228423240985)","(0.9977889298135542, 0.9978342764644729)","(0.9998536199407002, 0.9998585915346374)","(0.9584527175202084, 0.9592878188510696)","(0.9575622759504799, 0.9584131287273058)","(0.9573176450439408, 0.9581749752391043)","(38.11658020822904, 38.346955531483786)","(38.11658020822904, 38.346955531483786)","(37.97803623275051, 38.18525444003946)","(19.99504823805043, 20.02939553704875)",0.13682666977342706,0.027692759058271177,0.029634692683796704,0.12792842324098785,2.2673325459354743e-05,2.4857969685987413e-06,0.0004175506654305883,0.00042542638841291947,0.00042866509758177074,0.11518766162737393,0.11518766162737393,0.10360910364447307,0.017173649499159893
ampc,721.0735,2.9267,3.0112,12.9886,0.991975810810901,0.9833938941295354,0.8092580525945092,0.8077375944132398,0.8051836066740214,49.486484049360755,49.4211334000101,44.662699456580384,20.174895173089826,"(720.9907078146324, 721.1562921853675)","(2.8947385413904594, 2.9586614586095403)","(2.975648392713901, 3.046751607286099)","(12.919877403533295, 13.057322596466705)","(0.9919095111795088, 0.9920421104421132)","(0.9831031166863243, 0.9836846715727351)","(0.8077331067495829, 0.8107829984393636)","(0.8062040600418202, 0.809271128784642)","(0.8036313752403619, 0.8067358381076755)","(49.20341496829771, 49.769553130424626)","(49.14223787755683, 49.700028922464206)","(44.49113814285303, 44.83426077030656)","(20.11224956942541, 20.237540776754294)",0.08279218536756616,0.03196145860954047,0.035551607286099074,0.06872259646670464,6.62996313022246e-05,0.0002907774432053811,0.0015249458448903797,0.001533534371410905,0.0015522314336567922,0.2830690810634593,0.27889552245368776,0.17156131372676242,0.06264560366444272
braf,2515.2913,7.0425,0.0,63.6662,0.9972766821346022,0.9995807025324857,0.9473860685705864,0.9475426237053436,0.9459932207369683,41.29729319381884,41.29729319381884,41.25657509389559,22.29102387282396,"(2515.120939227741, 2515.4616607722587)","(6.990197489478448, 7.094802510521553)","(0.0, 0.0)","(63.50952096907173, 63.82287903092828)","(0.9972564568791487, 0.9972969073899929)","(0.9995762072445585, 0.9995851978204521)","(0.9470058578429633, 0.9477662792982452)","(0.9471734102321125, 0.9479118371785553)","(0.9456034550542813, 0.9463829864196827)","(41.18951800266869, 41.405068384971656)","(41.18951800266869, 41.405068384971656)","(41.15133274247842, 41.36181744531527)","(22.273867634487168, 22.30818011116026)",0.17036077225884583,0.052302510521552215,0,0.15667903092827373,2.022525542211273e-05,4.495287946770787e-06,0.00038021072764093944,0.00036921347322138587,0.00038976568270066014,0.10777519115148237,0.10777519115148237,0.10524235141842553,0.017156238336546892
cdk2,1217.0795,9.8848,0.0,31.0357,0.992142448330679,0.9994804270615603,0.8608015859160725,0.8664355325152338,0.8568595327090192,41.816623092225015,41.816623092225015,41.816623092225015,26.556168544782857,"(1216.9606421874869, 1217.1983578125132)","(9.824106877170971, 9.94549312282903)","(0.0, 0.0)","(30.93041928870403, 31.140980711295967)","(0.9920942026050644, 0.9921906940563029)","(0.9994731018175622, 0.999487752305565)","(0.8599228263062179, 0.8616803455259076)","(0.8656462487945759, 0.8672248162358981)","(0.8559611013057223, 0.8577579641123317)","(41.66735352117869, 41.96589266327229)","(41.66735352117869, 41.96589266327229)","(41.66735352117869, 41.96589266327229)","(26.506739331318556, 26.605597758247065)",0.11885781251316985,0.06069312282902928,0,0.10528071129596839,4.824572561923368e-05,7.325244001377129e-06,0.000878759609844848,0.0007892837206611159,0.0008984314033047003,0.14926957104680127,0.14926957104680127,0.14926957104680127,0.04942921346425422
cp3a4,2966.0654,18.0316,5.878,84.025,0.992221990891345,0.998253180638159,0.8748127245530867,0.8729856865932953,0.8708187018603314,34.56769667009481,34.56769667009481,34.56769667009481,22.70310031651391,"(2965.8646252300377, 2966.266174769962)","(17.94590419589574, 18.117295804104263)","(5.830389677401454, 5.925610322598546)","(83.84562289489236, 84.20437710510765)","(0.9921898157354221, 0.9922541660472717)","(0.9982414895844806, 0.998264871691852)","(0.8742898107652252, 0.8753356383409271)","(0.8724630355340176, 0.8735083376525871)","(0.8702813098195779, 0.8713560939010865)","(34.49592997846875, 34.6394633617208)","(34.49592997846875, 34.6394633617208)","(34.49592997846875, 34.6394633617208)","(22.679844585593045, 22.726356047434997)",0.20077476996220867,0.0856958041042617,0.04761032259854581,0.1793771051076476,3.217515592479625e-05,1.169105368570289e-05,0.0005229137878509649,0.0005226510592847289,0.0005373920407543142,0.07176669162602423,0.07176669162602423,0.07176669162602423,0.023255730920975992
csf1r,3095.2178,12.1156,1.0355,70.6311,0.995863133060716,0.9994427294582979,0.9143961975292867,0.9150273741345766,0.912290299061955,44.935385649989314,44.935385649989314,44.88677460966483,23.131023675580796,"(3095.045137619219, 3095.3904623807807)","(12.045387244363175, 12.185812755636826)","(1.0163046782712748, 1.0546953217287254)","(70.47278569995106, 70.78941430004895)","(0.9958397230807122, 0.9958865430407097)","(0.9994372000526993, 0.9994482588638384)","(0.9139112128083221, 0.9148811822502977)","(0.9145593967556702, 0.915495351513474)","(0.9117944073592208, 0.912786190764715)","(44.83405406983259, 45.0367172301475)","(44.83405406983259, 45.0367172301475)","(44.78831042847921, 44.985238790851895)","(23.109021768689765, 23.15302558247155)",0.17266238078082097,0.07021275563682572,0.01919532172872529,0.15831430004894287,2.3409979998723074e-05,5.529405569526524e-06,0.0004849847209877911,0.00046797737890191815,0.0004958917027471088,0.10133158015745636,0.10133158015745636,0.09846418118634404,0.022001906890892542
cxcr4,852.9125,0.9624,2.021,29.1041,0.9966289265537618,0.9975810184848558,0.9499463485011558,0.94876760192524,0.9482027237202457,29.4322326723083,29.4322326723083,29.38952791040354,19.43060909303678,"(852.8005992834165, 853.0244007165835)","(0.9428678408077427, 0.9819321591922574)","(1.993307978068833, 2.0486920219311666)","(28.995019141328143, 29.213180858671855)","(0.9965895219412314, 0.996668331166113)","(0.997545229927507, 0.9976168070422003)","(0.9493390651313565, 0.9505536318709904)","(0.9481498016901078, 0.949385402160378)","(0.9475764707642705, 0.9488289766762449)","(29.320366640004025, 29.54409870461349)","(29.320366640004025, 29.54409870461349)","(29.28059112425936, 29.498464696548616)","(19.408898781370105, 19.452319404702273)",0.11190071658347733,0.01953215919225737,0.02769202193116682,0.10908085867185591,3.9404612440785414e-05,3.5788557346649874e-05,0.0006072833698169688,0.0006178002351351353,0.0006262529559871721,0.11186603230473224,0.11186603230473224,0.10893678614462843,0.021710311666083726
egfr,8840.9625,11.7361,7.8121,198.4893,0.9978421238547349,0.9998275906735345,0.9529548703328333,0.9519478777426571,0.9518507245256962,44.113864120097425,44.113864120097425,44.094630749524974,20.381779331856833,"(8840.67913286097, 8841.245867139029)","(11.669766945840456, 11.802433054159545)","(7.757178747389544, 7.867021252610456)","(198.2172622364556, 198.76133776354436)","(0.9978324958549167, 0.9978517518545433)","(0.9998264202729015, 0.9998287610741763)","(0.9527433081171743, 0.9531664325485116)","(0.9517320940198258, 0.9521636614655041)","(0.9516344542986519, 0.9520669947527383)","(44.05505129539843, 44.17267694480229)","(44.05505129539843, 44.17267694480229)","(44.036705583974864, 44.15255591508094)","(20.373520555435455, 20.390038108277942)",0.28336713902899646,0.0663330541595446,0.05492125261045633,0.27203776354437537,9.627999813299759e-06,1.170400637406921e-06,0.00021156221566864808,0.00021578372283914682,0.00021627022704318044,0.05881282470193128,0.05881282470193128,0.05792516555303706,0.008258776421243397
fak1,1346.975,4.1803,0.9759,27.8688,0.9962636231883807,0.9995754019367278,0.9139218317503888,0.9140551764157159,0.912022101682635,49.692023542427066,49.692023542427066,47.83670924505193,22.347965702071118,"(1346.8638349986095, 1347.0861650013903)","(4.139614500058235, 4.220985499941765)","(0.9570289329043962, 0.9947710670956038)","(27.76505777168363, 27.97254222831637)","(0.9962306252068232, 0.9962966211699888)","(0.9995668817673088, 0.9995839221061503)","(0.9131369403022304, 0.9147067231985339)","(0.9132838710263288, 0.9148264818051063)","(0.9112220105885942, 0.9128221927766529)","(49.49011766025486, 49.89392942459384)","(49.49011766025486, 49.89392942459384)","(47.69760772654711, 47.97581076355083)","(22.313253220207127, 22.382678183934818)",0.11116500139041818,0.04068549994176518,0.018871067095603822,0.1037422283163707,3.299798158284961e-05,8.520169420767054e-06,0.0007848914481517477,0.0007713053893887434,0.0008000910940293426,0.20190588216949124,0.20190588216949124,0.13910151850186026,0.03471248186384557
gcr,3782.3204,8.9403,3.9105,136.8288,0.9967317395727274,0.999511589890359,0.9548849389098159,0.9534323439149375,0.9531899306681298,28.115709504606162,28.115709504606162,28.115709504606162,20.68088950024549,"(3782.0970654301964, 3782.5437345698037)","(8.87844910656554, 9.002150893434461)","(3.8715443116644206, 3.949455688335579)","(136.60703591558348, 137.05056408441652)","(0.9967128493630172, 0.9967506297824559)","(0.9995070741977787, 0.9995161055829829)","(0.9546146090433945, 0.9551552687762508)","(0.9531548397576708, 0.9537098480722221)","(0.9529102062354264, 0.9534696551008175)","(28.071725217481323, 28.15969379172843)","(28.071725217481323, 28.15969379172843)","(28.071725217481323, 28.15969379172843)","(20.670395594890355, 20.69138340560033)",0.22333456980368283,0.061850893434460374,0.038955688335579275,0.2217640844165203,1.889020971934663e-05,4.515692602069521e-06,0.00027032986642816503,0.00027750415727567646,0.00027972443269552727,0.0439842871235534,0.0439842871235534,0.0439842871235534,0.010493905354987731
hivpr,9028.3389,15.2519,4.9034,345.5058,0.9978544496487378,0.9995496603802357,0.9716079444442148,0.9706266263926969,0.9704932431772135,26.885422454184987,26.885422454184987,26.885422454184987,20.580730566135653,"(9027.968202250338, 9028.709597749663)","(15.174457394054897, 15.3293426059451)","(4.858738425978199, 4.948061574021802)","(345.1417188721376, 345.86988112786247)","(0.9978450277209022, 0.9978638715765219)","(0.9995457690603843, 0.9995535517001098)","(0.9714828310383505, 0.971733057850086)","(0.9704977950181239, 0.9707554577672655)","(0.9703633726265612, 0.9706231137278312)","(26.857192914789525, 26.913651993580107)","(26.857192914789525, 26.913651993580107)","(26.857192914789525, 26.913651993580107)","(20.575473126267152, 20.58598800600485)",0.370697749662213,0.07744260594510166,0.044661574021801265,0.3640811278624483,9.421927809838415e-06,3.8913198627810175e-06,0.00012511340586773834,0.00012883137457075922,0.00012987055063495845,0.028229539395290715,0.028229539395290715,0.028229539395290715,0.00525743986884919
hivrt,4749.2782,28.1028,2.998,131.621,0.9936684039088348,0.9992879950031903,0.893965872427146,0.8943476150344106,0.8907289381277673,36.745488336298806,36.745488336298806,36.745488336298806,23.721201476410844,"(4749.0395986358235, 4749.516801364176)","(28.006996036296893, 28.198603963703103)","(2.9614942164396765, 3.034505783560324)","(131.401729892562, 131.84027010743802)","(0.9936478167424727, 0.9936889910751168)","(0.9992831081943782, 0.9992928818120149)","(0.8936134009163443, 0.8943183439379883)","(0.8940062124480632, 0.8946890176207662)","(0.8903672722595719, 0.8910906039959845)","(36.68478167502354, 36.80619499757673)","(36.68478167502354, 36.80619499757673)","(36.68478167502354, 36.80619499757673)","(23.70417910578562, 23.738223847036224)",0.23860136417624744,0.09580396370310496,0.036505783560323746,0.2192701074380068,2.058716632202806e-05,4.886808818382882e-06,0.00035247151082196115,0.00034140258635151355,0.00036166586820629565,0.06070666127659763,0.06070666127659763,0.06070666127659763,0.017022370625301875
igf1r,2341.3558,7.9002,3.1009,53.6431,0.995427639235233,0.9993576621569,0.9061907667978847,0.905019583606689,0.9038532587938325,43.1555918888826,43.1555918888826,43.0956388795824,21.801900140546127,"(2341.2017758457596, 2341.50982415424)","(7.84539766083351, 7.95500233916649)","(3.066763093743247, 3.1350369062567536)","(53.50096313104287, 53.78523686895712)","(0.9954011106256719, 0.9954541678448185)","(0.9993515718251809, 0.9993637524885932)","(0.9056353822182484, 0.9067461513775152)","(0.904461997733077, 0.9055771694802774)","(0.903285673434154, 0.9044208441535057)","(43.04129532859575, 43.26988844916595)","(43.04129532859575, 43.26988844916595)","(42.9844368725028, 43.20684088665837)","(21.777581397291737, 21.826218883799708)",0.15402415424023275,0.05480233916649002,0.03413690625675336,0.14213686895712385,2.6528609573306383e-05,6.090331706176677e-06,0.0005553845796334445,0.0005575858736002193,0.0005675853596758262,0.11429656028509783,0.11429656028509783,0.11120200707778594,0.02431874325398553
